City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Benguela,AO,76.5,light rain,-12.58,13.41,Hotel Praia Morena
599,Abaete,BR,77.74,broken clouds,-19.16,-45.45,Hotel Millenium
604,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
605,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
608,Inirida,CO,78.1,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
611,Namatanai,PG,84.54,overcast clouds,-3.67,152.43,Namatanai Hotel
612,Aquiraz,BR,81.0,clear sky,-3.9,-38.39,Hotel Laguna Blu
622,Sorong,ID,77.13,overcast clouds,-0.88,131.25,The Waigo Hotel
623,Tera,NE,83.14,clear sky,14.01,0.75,Hotel Daressalam Téra
626,Santa Rosa,PH,77.0,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
629,Hirara,JP,77.25,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
632,Abeche,TD,82.56,scattered clouds,13.83,20.83,Assaleh Hamdan Haroune
636,Kolondieba,ML,75.2,broken clouds,11.09,-6.89,Hotel Dakan
639,Richards Bay,ZA,76.37,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
642,Sinnamary,GF,81.59,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
646,Miraflores,MX,75.0,scattered clouds,19.22,-98.81,Hotel Mansión
649,Moranbah,AU,79.41,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
652,Yarada,IN,78.75,few clouds,17.65,83.27,"D-26/2, Dolphin Hill,"
656,Sragen,ID,78.28,overcast clouds,-7.43,111.02,Graha Hotel Sragen
667,Mangrol,IN,76.68,clear sky,21.12,70.12,Hotel The Royal Honours
672,Bosaso,SO,77.02,clear sky,11.28,49.18,Red Sea Hotel
673,Kishi,NG,75.18,clear sky,9.08,3.85,AMARC GUEST HOUSE
674,Jacareacanga,BR,82.29,light rain,-6.22,-57.75,Casa do Ian😎
675,Maumere,ID,82.26,scattered clouds,-8.62,122.21,Sylvia Hotel
