City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Sisimiut,GL,2020-10-28 11:17:39,66.94,-53.67,17.13,89,68,10.2
132,Mapiripan,CO,2020-10-28 11:16:06,2.89,-72.13,73.6,95,100,3.4
133,Ballina,AU,2020-10-28 11:17:39,-28.87,153.57,64.99,94,99,10.07
134,Bathsheba,BB,2020-10-28 11:17:39,13.22,-59.52,82.11,79,95,20.36
135,Severo-Kurilsk,RU,2020-10-28 11:17:40,50.68,156.12,41.81,84,3,5.06
136,Te Anau,NZ,2020-10-28 11:17:40,-45.42,167.72,46.67,88,71,2.57
137,Mecca,SA,2020-10-28 11:17:40,21.43,39.83,97.3,15,0,8.14
138,Banda Aceh,ID,2020-10-28 11:15:54,5.56,95.32,83.26,69,93,13.71
139,Los Llanos De Aridane,ES,2020-10-28 11:17:40,28.66,-17.92,66.0,68,31,10.56
140,San Patricio,US,2020-10-28 11:17:41,28.02,-97.52,48.0,97,100,5.01
141,Rapid Valley,US,2020-10-28 11:17:41,44.06,-103.15,46.0,57,23,5.01
142,Flinders,AU,2020-10-28 11:17:41,-34.58,150.86,62.01,84,99,4.54
143,Brits,ZA,2020-10-28 11:17:38,-25.63,27.78,90.0,28,0,5.01
144,Cayenne,GF,2020-10-28 11:17:22,4.93,-52.33,82.4,77,64,9.46
145,Caravelas,BR,2020-10-28 11:14:35,-17.71,-39.25,82.11,76,80,11.9
146,Isangel,VU,2020-10-28 11:17:42,-19.55,169.27,73.99,75,52,14.36
147,Cherskiy,RU,2020-10-28 11:17:42,68.75,161.3,9.28,93,98,8.72
148,Usvyaty,RU,2020-10-28 11:17:43,55.75,30.75,53.1,77,87,7.96
149,Yatou,CN,2020-10-28 11:17:43,37.15,122.38,53.6,48,99,6.6
150,Mbandaka,CD,2020-10-28 11:17:43,0.05,18.26,71.92,96,100,4.12
151,Pisco,PE,2020-10-28 11:17:43,-13.7,-76.22,60.01,88,78,4.92
152,Guerrero Negro,MX,2020-10-28 11:17:44,27.98,-114.06,52.39,46,0,0.81
153,Umm Lajj,SA,2020-10-28 11:17:44,25.02,37.27,89.55,41,0,12.77
154,Beringovskiy,RU,2020-10-28 11:17:44,63.05,179.32,26.38,95,88,13.87
155,San Quintin,MX,2020-10-28 11:17:44,30.48,-115.95,58.55,33,0,4.59
156,Lata,PT,2020-10-28 11:17:45,40.16,-8.33,66.99,85,99,1.01
157,Upernavik,GL,2020-10-28 11:17:45,72.79,-56.15,11.53,79,0,6.11
158,Braniewo,PL,2020-10-28 11:17:45,54.38,19.82,55.42,60,89,16.26
159,Bluff,NZ,2020-10-28 11:17:45,-46.6,168.33,46.0,90,84,3.0
160,Kavieng,PG,2020-10-28 11:17:46,-2.57,150.8,83.66,70,42,5.12
161,Chokurdakh,RU,2020-10-28 11:17:46,70.63,147.92,4.46,95,90,7.76
162,Kondinskoye,RU,2020-10-28 11:17:46,59.65,67.41,24.08,98,99,3.11
163,Arraial Do Cabo,BR,2020-10-28 11:17:47,-22.97,-42.03,74.7,86,0,7.25
164,Farafangana,MG,2020-10-28 11:17:47,-22.82,47.83,80.1,65,11,11.39
165,Kiunga,PG,2020-10-28 11:17:47,-6.12,141.29,72.32,96,100,0.56
166,Vaasa,FI,2020-10-28 11:17:47,63.1,21.62,46.99,93,91,8.01
167,Leningradskiy,RU,2020-10-28 11:17:48,69.38,178.42,17.13,87,50,8.68
168,Vardo,NO,2020-10-28 11:17:48,70.37,31.11,41.04,80,81,10.63
169,Hualmay,PE,2020-10-28 11:17:48,-11.1,-77.61,62.15,87,98,8.21
170,Ribeira Grande,PT,2020-10-28 11:17:48,38.52,-28.7,64.26,68,10,10.56
171,Longyearbyen,SJ,2020-10-28 11:17:48,78.22,15.64,25.2,96,90,3.2
172,Tasiilaq,GL,2020-10-28 11:17:49,65.61,-37.64,24.4,87,100,8.46
173,Souillac,MU,2020-10-28 11:17:49,-20.52,57.52,79.0,61,70,7.0
174,Bambous Virieux,MU,2020-10-28 11:17:49,-20.34,57.76,79.0,61,57,7.0
175,Afua,BR,2020-10-28 11:17:49,-0.16,-50.39,83.86,71,35,6.98
176,Castlemaine,AU,2020-10-28 11:16:13,-37.07,144.22,50.0,93,58,4.29
177,Monrovia,LR,2020-10-28 11:13:30,6.3,-10.8,84.83,67,2,3.4
178,Saint-Augustin,CA,2020-10-28 11:17:50,51.23,-58.65,25.72,86,30,11.39
179,Chara,RU,2020-10-28 11:17:50,56.91,118.26,3.09,86,0,0.85
180,Taoudenni,ML,2020-10-28 11:17:50,22.68,-3.98,94.5,11,0,1.7
181,Port Elizabeth,ZA,2020-10-28 11:16:54,-33.92,25.57,73.0,58,33,8.99
182,Pevek,RU,2020-10-28 11:17:51,69.7,170.31,19.06,95,100,12.01
183,Progreso,MX,2020-10-28 11:17:51,21.28,-89.67,73.99,96,27,9.82
184,Bonthe,SL,2020-10-28 11:17:51,7.53,-12.51,87.53,60,42,2.93
185,Carutapera,BR,2020-10-28 11:17:51,-1.2,-46.02,83.88,69,47,9.22
186,Zhigansk,RU,2020-10-28 11:17:52,66.77,123.37,-7.22,91,6,5.82
187,Aktau,KZ,2020-10-28 11:17:52,43.65,51.2,57.67,31,1,19.04
188,Stephenville,US,2020-10-28 11:17:19,32.22,-98.2,36.0,84,100,3.0
189,Baculin,PH,2020-10-28 11:17:53,7.45,126.58,78.15,78,93,4.32
190,Tateyama,JP,2020-10-28 11:17:53,34.98,139.87,68.0,73,78,4.0
191,Muros,ES,2020-10-28 11:17:53,42.78,-9.06,62.01,76,55,1.01
192,Shirokiy,RU,2020-10-28 11:17:54,49.76,129.52,33.64,95,99,7.92
193,Amuntai,ID,2020-10-28 11:17:54,-2.42,115.25,77.83,91,93,2.46
194,Kaitangata,NZ,2020-10-28 11:17:54,-46.28,169.85,52.0,86,96,11.01
195,Bethel,US,2020-10-28 11:17:54,41.37,-73.41,46.0,95,100,2.39
196,Changji,CN,2020-10-28 11:17:55,44.02,87.32,52.12,40,50,5.59
197,Faanui,PF,2020-10-28 11:17:55,-16.48,-151.75,79.43,80,65,18.99
198,Petropavlovsk-Kamchatskiy,RU,2020-10-28 11:17:55,53.05,158.65,40.82,81,61,3.2
199,Port Lincoln,AU,2020-10-28 11:17:55,-34.73,135.87,61.02,67,53,5.53
200,Tukrah,LY,2020-10-28 11:17:55,32.53,20.58,72.5,51,8,17.83
201,Behbahan,IR,2020-10-28 11:17:56,30.6,50.24,92.46,10,0,9.93
202,Ostrovnoy,RU,2020-10-28 11:17:56,68.05,39.51,39.47,90,100,13.87
203,Suoyarvi,RU,2020-10-28 11:17:56,62.08,32.35,47.52,81,99,14.12
204,Cumberland,US,2020-10-28 11:17:56,35.05,-78.87,62.01,96,41,5.53
205,Beyneu,KZ,2020-10-28 11:17:57,45.32,55.2,52.38,40,29,12.57
206,San Juan,AR,2020-10-28 11:15:32,-31.54,-68.54,61.57,32,0,23.94
207,Cap Malheureux,MU,2020-10-28 11:17:57,-19.98,57.61,79.0,61,30,7.0
208,Dakar,SN,2020-10-28 11:16:25,14.69,-17.44,85.91,45,18,4.97
209,Russell,US,2020-10-28 11:15:04,32.35,-85.2,73.0,95,99,1.01
210,Asekeyevo,RU,2020-10-28 11:17:58,53.57,52.8,39.79,68,67,6.53
211,Gafanha Da Encarnacao,PT,2020-10-28 11:17:58,40.62,-8.73,66.99,85,95,1.01
212,Sao Filipe,CV,2020-10-28 11:17:58,14.9,-24.5,82.06,69,85,10.45
213,Campbell River,CA,2020-10-28 11:17:58,50.02,-125.24,44.01,97,100,3.24
214,Ngaoundere,CM,2020-10-28 11:17:59,7.32,13.58,81.27,41,90,8.84
215,Portland,US,2020-10-28 11:16:57,45.52,-122.68,43.0,91,0,2.04
216,Trairi,BR,2020-10-28 11:17:59,-3.28,-39.27,83.59,65,92,12.75
217,Issia,CI,2020-10-28 11:17:59,6.49,-6.59,90.82,50,21,2.1
218,Aklavik,CA,2020-10-28 11:17:59,68.22,-135.01,13.24,91,87,4.41
219,Aosta,IT,2020-10-28 11:14:25,45.77,7.42,59.0,44,66,1.99
220,Dauriya,RU,2020-10-28 11:18:00,49.93,116.87,29.21,86,3,1.3
221,Radford,US,2020-10-28 11:18:00,37.13,-80.58,55.99,97,61,1.99
222,Bougouni,ML,2020-10-28 11:18:00,11.42,-7.48,91.24,22,6,3.74
223,Bolivar,US,2020-10-28 11:16:18,37.61,-93.41,37.99,95,92,5.14
224,Kushima,JP,2020-10-28 11:18:01,31.46,131.23,65.75,78,17,2.08
225,Sur,OM,2020-10-28 11:18:01,22.57,59.53,82.11,43,0,11.03
226,Cartersville,US,2020-10-28 11:17:12,34.17,-84.8,69.01,99,100,6.96
227,Tambun,ID,2020-10-28 11:18:02,-6.26,107.07,87.01,64,58,3.0
228,Anadyr,RU,2020-10-28 11:18:02,64.75,177.48,15.01,85,0,5.99
229,Chiredzi,ZW,2020-10-28 11:18:02,-21.05,31.67,96.69,13,0,13.4
230,Habiganj,BD,2020-10-28 11:18:03,24.38,91.42,83.71,71,0,1.1
231,Buraydah,SA,2020-10-28 11:18:03,26.33,43.98,88.03,12,0,9.6
232,Port Hawkesbury,CA,2020-10-28 11:18:03,45.62,-61.35,37.0,89,96,8.01
233,Orocue,CO,2020-10-28 11:18:03,4.79,-71.34,74.91,90,100,7.07
234,Makurdi,NG,2020-10-28 11:18:04,7.74,8.51,94.17,48,18,0.74
235,Salalah,OM,2020-10-28 11:16:38,17.02,54.09,85.01,51,5,7.2
236,Igdir,TR,2020-10-28 11:18:04,39.92,44.05,73.87,20,100,3.74
237,Grande Prairie,CA,2020-10-28 11:18:04,55.17,-118.8,31.03,96,0,3.27
238,Doka,SD,2020-10-28 11:18:05,13.52,35.77,97.03,20,0,4.85
239,Mangrol,IN,2020-10-28 11:18:05,21.12,70.12,85.86,45,0,9.28
240,Vila Velha,BR,2020-10-28 11:17:20,-20.33,-40.29,81.0,84,89,8.99
241,Ketchikan,US,2020-10-28 11:18:05,55.34,-131.65,40.66,81,67,2.19
242,Novoraychikhinsk,RU,2020-10-28 11:18:05,49.78,129.59,33.64,95,97,7.47
243,Naze,JP,2020-10-28 11:18:06,28.37,129.48,71.38,68,53,7.31
244,Imelda,PH,2020-10-28 11:18:06,7.65,123.95,79.38,79,100,4.23
245,Adrar,MR,2020-10-28 11:18:06,20.5,-10.07,86.27,17,0,13.71
246,Raudeberg,NO,2020-10-28 11:18:06,61.99,5.14,48.0,82,81,11.74
247,Tuatapere,NZ,2020-10-28 11:18:07,-46.13,167.68,46.0,90,98,3.0
248,Galesong,ID,2020-10-28 11:18:07,-5.32,119.37,85.96,58,79,9.17
249,Jiaojiang,CN,2020-10-28 11:18:07,28.68,121.44,69.01,82,20,8.59
250,Maningrida,AU,2020-10-28 11:18:07,-12.07,134.27,81.18,71,44,8.32
251,Port Blair,IN,2020-10-28 11:15:18,11.67,92.75,81.97,76,100,6.78
252,East London,ZA,2020-10-28 11:18:08,-33.02,27.91,72.01,67,30,10.56
253,Barra Patuca,HN,2020-10-28 11:18:08,15.8,-84.28,77.83,89,100,5.03
254,Pedasi,PA,2020-10-28 11:18:08,7.53,-80.03,77.9,84,72,5.68
255,Karratha,AU,2020-10-28 11:18:08,-20.74,116.85,73.94,82,56,8.61
256,Nishihara,JP,2020-10-28 11:18:09,26.18,127.76,75.0,69,3,8.99
257,Boa Vista,BR,2020-10-28 11:18:09,2.82,-60.67,80.37,74,100,6.73
258,Bam,IR,2020-10-28 11:18:09,29.11,58.36,77.13,16,0,18.7
259,Asau,RO,2020-10-28 11:18:10,46.43,26.4,55.0,82,91,3.89
260,Broome,US,2020-10-28 11:18:10,42.25,-75.83,45.0,98,100,1.01
261,Show Low,US,2020-10-28 11:13:10,34.25,-110.03,17.01,91,0,2.93
262,Laguna,US,2020-10-28 11:18:10,38.42,-121.42,48.99,57,0,2.15
263,Alekseyevsk,RU,2020-10-28 11:18:11,57.84,108.35,28.74,96,98,5.79
264,Bonavista,CA,2020-10-28 11:18:11,48.65,-53.11,37.0,85,100,4.0
265,Oranjemund,NA,2020-10-28 11:18:11,-28.55,16.43,65.12,61,14,11.99
266,Alyangula,AU,2020-10-28 11:18:11,-13.85,136.42,82.08,70,0,10.74
267,Qaqortoq,GL,2020-10-28 11:18:12,60.72,-46.03,28.98,98,100,3.85
268,Gayeri,BF,2020-10-28 11:18:12,12.65,0.49,95.49,10,12,6.6
269,Touros,BR,2020-10-28 11:18:12,-5.2,-35.46,81.66,67,29,13.73
270,Gubkinskiy,RU,2020-10-28 11:18:12,64.43,76.5,2.88,91,0,14.14
271,Barahona,DO,2020-10-28 11:18:12,18.21,-71.1,77.38,78,9,0.83
272,Aswan,EG,2020-10-28 11:18:13,24.09,32.91,102.58,9,0,10.33
273,Boende,CD,2020-10-28 11:18:13,-0.22,20.87,74.34,88,100,5.57
274,Rushden,GB,2020-10-28 11:18:13,52.29,-0.6,55.99,65,81,4.0
275,Sabya,SA,2020-10-28 11:18:13,17.15,42.63,95.09,30,0,16.06
276,Sesheke,ZM,2020-10-28 11:18:13,-17.48,24.3,100.87,13,19,8.28
277,Moroni,KM,2020-10-28 11:17:53,-11.7,43.26,79.99,71,64,6.33
278,Udachnyy,RU,2020-10-28 11:18:14,66.42,112.4,-14.1,88,8,2.48
279,Kodaikanal,IN,2020-10-28 11:18:14,10.23,77.48,63.01,90,71,2.53
280,Miri,MY,2020-10-28 11:13:18,4.41,114.01,80.94,79,96,5.79
281,Eston,CA,2020-10-28 11:18:14,51.15,-108.75,33.01,81,100,8.99
282,Valencia,ES,2020-10-28 11:18:15,39.33,-0.83,73.0,38,41,1.99
283,Geraldton,AU,2020-10-28 11:18:15,-28.77,114.6,66.99,78,0,5.01
284,Druzhba,UA,2020-10-28 11:18:15,52.04,33.95,52.75,56,0,7.78
285,Parabel,RU,2020-10-28 11:18:15,58.7,81.48,18.45,96,100,17.69
286,Rurrenabaque,BO,2020-10-28 11:18:15,-14.44,-67.53,72.75,83,60,1.61
287,Frankenberg,DE,2020-10-28 11:18:16,51.07,8.8,55.99,83,84,3.0
288,Manaus,BR,2020-10-28 11:17:26,-3.1,-60.02,77.77,85,90,2.33
289,Lorengau,PG,2020-10-28 11:18:16,-2.02,147.27,82.27,73,75,1.57
290,Omboue,GA,2020-10-28 11:18:16,-1.57,9.26,78.6,85,100,6.29
291,El Carmen,CO,2020-10-28 11:18:17,8.51,-73.45,66.52,89,95,2.68
292,Paita,PE,2020-10-28 11:18:17,-5.09,-81.11,63.23,87,100,10.47
293,Ignatovka,RU,2020-10-28 11:18:17,53.95,47.65,41.43,65,68,10.54
294,Ust-Kan,RU,2020-10-28 11:18:17,50.93,84.76,25.3,90,71,6.85
295,Marathon,US,2020-10-28 11:18:18,44.9,-89.77,30.0,87,59,1.99
296,Dublin,US,2020-10-28 11:14:30,37.7,-121.94,55.0,39,0,1.01
297,Belaya Gora,RU,2020-10-28 11:18:18,68.53,146.42,-0.72,93,33,0.92
298,Goundam,ML,2020-10-28 11:18:18,16.41,-3.67,96.17,9,16,8.23
299,Matay,EG,2020-10-28 11:18:18,28.42,30.78,88.79,29,76,8.41
300,Haines Junction,CA,2020-10-28 11:18:19,60.75,-137.51,27.34,95,100,1.59
301,Vilyuysk,RU,2020-10-28 11:18:19,63.76,121.62,1.38,92,96,2.95
302,Bastia,FR,2020-10-28 11:18:19,42.67,9.33,64.0,59,0,8.99
303,Humboldt,US,2020-10-28 11:18:19,40.67,-123.92,52.66,39,0,3.47
304,Korla,CN,2020-10-28 11:18:19,41.76,86.15,54.81,35,47,7.72
305,Sampit,ID,2020-10-28 11:14:28,-2.53,112.95,77.65,90,56,3.33
306,Verkhnevilyuysk,RU,2020-10-28 11:16:54,63.45,120.32,6.19,93,97,2.44
