City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
454,Cozumel,MX,20.51,-86.95,84.0,78,79,8.01,moderate rain
455,Mezen,RU,65.85,44.24,40.64,88,98,11.74,overcast clouds
456,Karsun,RU,54.2,46.98,30.74,91,0,7.23,clear sky
457,Nsanje,MW,-16.92,35.26,70.97,77,1,3.96,clear sky
458,Calafell,ES,41.2,1.57,59.0,86,0,3.94,clear sky
459,Russell,US,32.35,-85.2,78.01,91,98,6.35,overcast clouds
460,Morehead,US,37.27,-87.18,60.01,99,100,7.4,moderate rain
461,Vostok,RU,46.49,135.88,28.15,99,100,6.15,overcast clouds
462,Hemsedal,NO,60.86,8.55,34.0,91,100,1.01,overcast clouds
463,Iwanai,JP,42.97,140.51,48.22,78,75,12.77,light rain
464,Goure,NE,13.98,10.27,82.0,20,0,5.01,clear sky
465,Port Lincoln,AU,-34.73,135.87,59.94,75,67,21.7,broken clouds
466,Cap Malheureux,MU,-19.98,57.61,70.0,77,34,3.0,scattered clouds
467,Krasnoborsk,RU,61.56,45.93,42.12,90,59,8.66,broken clouds
468,Chumikan,RU,54.72,135.31,34.32,90,100,4.32,overcast clouds
469,Araguacu,BR,-12.93,-49.83,75.6,87,100,0.49,overcast clouds
470,Bereda,ES,43.27,-7.54,55.99,87,36,1.01,scattered clouds
471,Puro,PH,12.48,123.38,81.95,79,68,6.38,broken clouds
472,Luena,AO,-11.78,19.92,63.19,95,100,6.31,moderate rain
473,Kiruna,SE,67.86,20.23,18.25,97,44,0.72,scattered clouds
474,Berdigestyakh,RU,62.1,126.7,-0.4,92,86,4.72,overcast clouds
475,Uribia,CO,11.71,-72.27,84.74,65,72,12.08,broken clouds
476,Puerto Gaitan,CO,4.31,-72.08,82.45,74,64,7.65,broken clouds
477,Santa Isabel,BR,-23.32,-46.22,84.0,38,0,2.33,clear sky
478,Porto Tolle,IT,44.95,12.32,50.0,89,15,6.17,few clouds
479,Sabha,LY,27.04,14.43,64.67,44,0,15.46,clear sky
480,College,US,64.86,-147.8,18.0,83,53,2.44,broken clouds
481,Fort Morgan,US,40.25,-103.8,43.07,70,38,9.46,scattered clouds
482,Cururupu,BR,-1.83,-44.87,76.46,87,10,4.0,clear sky
483,Adre,TD,13.47,22.2,77.9,23,17,11.74,few clouds
484,Whitehaven,GB,54.55,-3.58,46.99,86,81,4.0,broken clouds
485,Morro Bay,US,35.37,-120.85,78.01,74,0,3.0,clear sky
486,Sidi Ali,DZ,36.1,0.42,59.95,62,0,1.95,clear sky
487,Port Antonio,JM,18.18,-76.46,82.0,88,8,1.01,clear sky
488,Toyota,JP,35.08,137.15,60.01,40,0,7.0,clear sky
489,Portland,US,45.52,-122.68,66.0,59,9,1.01,clear sky
490,Nome,US,64.5,-165.41,28.99,82,2,3.0,clear sky
491,Montalvo,EC,-1.8,-79.33,87.55,42,100,2.66,overcast clouds
492,Chalus,IR,36.66,51.42,66.18,64,39,2.95,scattered clouds
493,Vila,PT,42.03,-8.16,48.0,92,9,1.01,clear sky
494,Leshukonskoye,RU,64.9,45.76,42.37,87,97,12.59,overcast clouds
495,Riyadh,SA,24.69,46.72,60.85,28,0,3.29,clear sky
496,Jaciara,BR,-15.97,-54.97,71.04,93,100,0.72,overcast clouds
497,Sherwood,US,34.82,-92.22,52.0,84,100,6.11,overcast clouds
498,Ban Dung,TH,17.7,103.26,73.0,89,100,11.92,heavy intensity rain
499,Kalabo,ZM,-14.97,22.68,71.37,60,85,5.37,overcast clouds
500,Saint-Augustin,CA,51.23,-58.65,29.32,85,46,7.47,scattered clouds
501,Thinadhoo,MV,0.53,72.93,82.94,75,78,12.39,broken clouds
502,Tiruchchendur,IN,8.48,78.12,79.16,78,7,9.73,clear sky
503,Boende,CD,-0.22,20.87,69.94,97,100,2.13,overcast clouds
504,Waw,SS,7.7,28.0,74.41,80,20,3.22,few clouds
505,Atambua,ID,-9.11,124.89,79.27,70,84,2.59,broken clouds
506,Alanya,TR,36.54,32.0,70.07,56,0,4.94,clear sky
507,Chuncheng,CN,22.17,111.79,69.91,91,97,5.26,overcast clouds
508,Sao Filipe,CV,14.9,-24.5,80.28,76,30,3.96,scattered clouds
509,Uruana,BR,-15.5,-49.69,71.29,90,100,1.34,overcast clouds
510,Pietarsaari,FI,63.65,22.68,48.99,98,100,7.0,overcast clouds
511,Urumqi,CN,43.8,87.6,38.68,72,14,6.08,few clouds
512,Aranos,NA,-24.13,19.12,75.83,35,88,6.26,overcast clouds
513,La Asuncion,VE,11.03,-63.86,80.24,85,50,7.47,scattered clouds
514,Tucuman,AR,-26.82,-65.22,73.8,55,56,5.82,light rain
515,Esmeraldas,BR,-19.76,-44.31,74.93,64,16,2.51,few clouds
516,Charlestown,AU,-32.95,151.67,66.99,91,69,5.28,broken clouds
517,Itoman,JP,26.12,127.67,75.96,72,21,11.05,few clouds
518,Lonavale,IN,18.75,73.42,67.86,71,0,3.06,clear sky
519,Marsh Harbour,BS,26.54,-77.06,81.25,79,31,15.08,scattered clouds
520,Wanaka,NZ,-44.7,169.15,60.17,69,80,2.46,broken clouds
521,Pokaran,IN,26.92,71.92,74.05,20,0,5.79,very heavy rain
